file_name,relative_path,source_folder,category,description,media_type,extension,width,height,duration_seconds,size_mb,suggested_use
VID_20260308_170930.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_170930.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,55.2,135.57,communication du club
VID_20260308_171029.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171029.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,5.1,14.35,communication du club
VID_20260308_171121.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171121.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,34.1,84.28,communication du club
VID_20260308_171159.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171159.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,24.2,59.94,communication du club
VID_20260308_171226.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171226.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,8.3,21.66,communication du club
VID_20260308_171246.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171246.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,30.9,76.42,communication du club
VID_20260308_171325.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171325.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,5.5,15.05,communication du club
VID_20260308_171336.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171336.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,13.8,34.97,communication du club
VID_20260308_171410.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171410.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,13.4,34.05,communication du club
VID_20260308_171522.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171522.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,32.2,79.49,communication du club
VID_20260308_171627.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171627.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,14.3,36.23,communication du club
VID_20260308_171820.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171820.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,10.0,25.71,communication du club
VID_20260308_171844.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171844.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,16.7,41.86,communication du club
VID_20260308_171917.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171917.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,10.1,25.77,communication du club
VID_20260308_171935.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171935.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,6.3,16.72,communication du club
VID_20260308_171953.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_171953.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,9.7,24.85,communication du club
VID_20260308_172020.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_172020.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,8.9,22.92,communication du club
VID_20260308_172117.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_172117.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,7.7,20.03,communication du club
VID_20260308_172138.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_172138.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,28.6,70.69,communication du club
VID_20260308_172255.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_172255.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,20.3,50.37,communication du club
VID_20260308_172331.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_172331.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,6.8,17.84,communication du club
VID_20260308_172341.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_172341.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,7.4,19.53,communication du club
VID_20260308_172436.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_172436.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,15.6,39.36,communication du club
VID_20260308_172454.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_172454.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,6.0,16.09,communication du club
VID_20260308_185151.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_185151.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,18.5,46.15,communication du club
VID_20260308_185225.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/VID_20260308_185225.mp4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,1920,1080,14.6,36.30,communication du club
ddf6717f-f5ea-469c-bb3e-c736a193d01d.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026/ddf6717f-f5ea-469c-bb3e-c736a193d01d.MP4,media/Camp féminin 8 mars 2026-20260602T191904Z-3-001/Camp féminin 8 mars 2026,Événements club,Camp feminin du 8 mars 2026; video; evenement club ou communaute,video,mp4,476,848,7.5,1.00,communication du club
